Timestamp	Name	Phone	Email	Capital
05/09/2026 10:00:00	Aarav Mehta	9800000001	aarav.mehta@example.com	500
05/09/2026 10:05:00	Diya Sharma	9800000002	diya.sharma@example.com	250
05/09/2026 10:06:00	Diya Sharma	9800000002	diya.sharma@example.com	250
05/09/2026 10:10:00	Kabir Nair	9800000003	kabir.nair@example.com	1000
05/09/2026 10:15:00	Ananya Rao	9800000004	ananya.rao@example.com	300
05/09/2026 10:20:00	Vivaan Gupta	9800000005	vivaan.gupta@example.com	100
05/09/2026 10:25:00	Ishaan Verma	9800000006	ishaan.verma@example.com	200
05/09/2026 10:30:00	Saanvi Iyer	9800000007	saanvi.iyer@example.com	400
05/09/2026 10:35:00	Reyansh Khan	9800000008	reyansh.khan@example.com	150
05/09/2026 10:40:00	Myra Joshi	9800000009	myra.joshi@example.com	600
05/09/2026 10:45:00	Aditya Bose	9800000010	aditya.bose@example.com	100
05/09/2026 10:50:00	Zara Malik	9800000011	zara.malik@example.com	50
05/09/2026 10:55:00	Bad Row	9800000014	bad@gmail.con	100
